showname,country,city,theatre,weekending,weeknumber,year,type,book adaptation,film adaptation,tony winning,tony nominated,gross
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,3/18/12,12,2012,ENGLISH,0,1,,,"$381,746.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,3/25/12,13,2012,ENGLISH,0,1,,,"$563,006.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,4/1/12,14,2012,ENGLISH,0,1,,,"$574,817.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,4/8/12,15,2012,ENGLISH,0,1,,,"$583,194.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,4/15/12,16,2012,ENGLISH,0,1,,,"$633,157.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,4/22/12,17,2012,ENGLISH,0,1,,,"$529,927.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,4/29/12,18,2012,ENGLISH,0,1,,,"$667,994.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,5/6/12,19,2012,ENGLISH,0,1,,,"$651,134.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,5/13/12,20,2012,ENGLISH,0,1,,,"$704,545.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,5/20/12,21,2012,ENGLISH,0,1,,,"$673,005.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,5/27/12,22,2012,ENGLISH,0,1,,,"$579,793.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,6/3/12,23,2012,ENGLISH,0,1,,,"$544,943.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,6/10/12,24,2012,ENGLISH,0,1,,,"$600,039.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,6/17/12,25,2012,ENGLISH,0,1,,,"$562,010.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,6/24/12,26,2012,ENGLISH,0,1,,,"$560,022.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,7/1/12,27,2012,ENGLISH,0,1,,,"$545,312.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,7/8/12,28,2012,ENGLISH,0,1,,,"$578,050.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,7/15/12,29,2012,ENGLISH,0,1,,,"$575,956.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,7/22/12,30,2012,ENGLISH,0,1,,,"$528,401.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,7/29/12,31,2012,ENGLISH,0,1,,,"$584,172.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,8/5/12,32,2012,ENGLISH,0,1,,,"$502,195.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,8/12/12,33,2012,ENGLISH,0,1,,,"$581,473.00"
GHOST,US,NEW YORK,LUNT-FONTANNE THEATRE,8/19/12,34,2012,ENGLISH,0,1,,,"$634,581.00"
GHOST,UK,LONDON,PICCADILLY THEATRE,6/26/11,26,2011,ENGLISH,0,1,,,
GHOST,UK,LONDON,PICCADILLY THEATRE,7/3/11,27,2011,ENGLISH,0,1,,,
GHOST,UK,LONDON,PICCADILLY THEATRE,7/10/11,28,2011,ENGLISH,0,1,,,
GHOST,UK,LONDON,PICCADILLY THEATRE,7/17/11,29,2011,ENGLISH,0,1,,,
GHOST,UK,LONDON,PICCADILLY THEATRE,7/24/11,30,2011,ENGLISH,0,1,,,
GHOST,UK,LONDON,PICCADILLY THEATRE,7/31/11,31,2011,ENGLISH,0,1,,,
