showname,city,theatre,weekending,type,book adaptation,film adaptation,gross
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/1/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/8/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/15/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/22/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/29/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/5/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/12/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/19/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/26/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/3/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/10/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/17/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/24/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/31/06,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/7/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/14/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/21/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/28/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/4/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/11/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/18/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/25/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/4/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/11/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/18/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/25/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/1/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/8/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/15/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/22/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/29/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/6/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/13/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/20/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/27/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/3/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/10/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/17/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/24/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/1/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/8/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/15/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/22/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/29/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/5/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/12/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/19/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/26/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/2/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/9/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/16/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/23/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/30/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/7/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/14/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/21/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/28/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/4/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/11/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/18/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/25/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/2/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/9/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/16/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/23/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/30/07,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/6/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/13/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/20/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/27/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/3/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/10/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/17/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/24/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/2/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/9/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/16/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/23/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/30/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/6/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/13/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/20/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/27/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/4/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/11/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/18/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/25/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/1/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/8/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/15/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/22/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/29/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/6/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/13/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/20/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/27/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/3/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/10/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/17/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/24/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/31/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/7/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/14/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/21/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/28/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/5/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/12/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/19/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/26/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/2/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/9/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/16/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/23/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/30/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/7/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/14/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/21/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/28/08,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/4/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/11/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/18/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/25/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/1/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/8/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/15/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/22/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/1/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/8/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/15/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/22/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/29/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/5/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/12/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/19/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/26/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/3/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/10/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/17/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/24/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/31/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/7/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/14/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/21/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/28/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/5/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/12/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/19/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/26/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/2/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/9/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/16/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/23/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/30/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/6/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/13/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/20/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/27/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/4/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/11/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/18/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/25/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/1/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/8/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/15/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/22/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/29/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/6/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/13/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/20/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/27/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/3/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/10/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/17/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/24/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/31/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/7/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/14/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/21/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/28/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/7/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/14/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/21/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/28/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/4/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/11/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/18/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/25/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/2/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/9/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/16/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/23/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/30/10,ENGLISH,1,0,
